"","id","tvalue","pvalue","correlation","band","task","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"92","voc_F8_closed_ForgettingRate_HighBeta",-0.570383525712144,0.571078105378859,-0.0820501777222516,"HighBeta","Vocabulary",1,0.859270913347987,1,0.997120948748304,0.997120948748304,1
"93","voc_T7_closed_ForgettingRate_HighBeta",-0.401741887606792,0.689657198436869,-0.0578892042719063,"HighBeta","Vocabulary",1,0.908364761569152,1,0.997120948748304,0.997120948748304,1
"94","voc_T8_closed_ForgettingRate_HighBeta",-0.67013802239577,0.505981217895356,-0.0962767607903975,"HighBeta","Vocabulary",1,0.852129896067287,1,0.997120948748304,0.997120948748304,1
"95","voc_P7_closed_ForgettingRate_HighBeta",-0.830721487685147,0.410244115211833,-0.11905156779455,"HighBeta","Vocabulary",1,0.840114536800187,1,0.997120948748304,0.997120948748304,1
"96","voc_P8_closed_ForgettingRate_HighBeta",1.10890032313639,0.2729983789676,0.158044392762202,"HighBeta","Vocabulary",1,0.75239412752085,1,0.997120948748304,0.997120948748304,1
"97","voc_O1_closed_ForgettingRate_HighBeta",-0.358327121128905,0.721669675810723,-0.0516510287468199,"HighBeta","Vocabulary",1,0.933640063781494,1,0.997120948748304,0.997120948748304,1
"98","voc_O2_closed_ForgettingRate_HighBeta",0.491488186811141,0.625321218462431,0.0707623763957727,"HighBeta","Vocabulary",1,0.880955678840154,1,0.997120948748304,0.997120948748304,1
"99","loc_AF3_closed_ForgettingRate_HighBeta",1.5531014170586,0.126968177838127,0.218742070188617,"HighBeta","Location",1,0.629166620462179,1,0.997120948748304,0.997120948748304,1
"100","loc_AF4_closed_ForgettingRate_HighBeta",2.02088409687647,0.0488888666556434,0.280020196272455,"HighBeta","Location",1,0.575791903767554,1,0.997120948748304,0.997120948748304,1
"101","loc_F3_closed_ForgettingRate_HighBeta",1.30022694553189,0.19973198798575,0.184451454757545,"HighBeta","Location",1,0.656046930052737,1,0.997120948748304,0.997120948748304,1
"102","loc_F4_closed_ForgettingRate_HighBeta",1.52682683524265,0.133367205552439,0.215214308081309,"HighBeta","Location",1,0.629166620462179,1,0.997120948748304,0.997120948748304,1
"103","loc_FC5_closed_ForgettingRate_HighBeta",0.496605692895308,0.621733921193895,0.0714954262315095,"HighBeta","Location",1,0.880955678840154,1,0.997120948748304,0.997120948748304,1
"104","loc_FC6_closed_ForgettingRate_HighBeta",1.0704990829582,0.289748209567319,0.152701165398729,"HighBeta","Location",1,0.75239412752085,1,0.997120948748304,0.997120948748304,1
"105","loc_F7_closed_ForgettingRate_HighBeta",0.844050046703475,0.402828521260968,0.120933979261665,"HighBeta","Location",1,0.840114536800187,1,0.997120948748304,0.997120948748304,1
"106","loc_F8_closed_ForgettingRate_HighBeta",1.29561718123094,0.201303556002075,0.183819643703885,"HighBeta","Location",1,0.656046930052737,1,0.997120948748304,0.997120948748304,1
"107","loc_T7_closed_ForgettingRate_HighBeta",-0.259215430331944,0.79657751951194,-0.0373883647831586,"HighBeta","Location",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"108","loc_T8_closed_ForgettingRate_HighBeta",0.979146370315217,0.332417098931907,0.139936999335524,"HighBeta","Location",1,0.776307489582543,1,0.997120948748304,0.997120948748304,1
"109","loc_P7_closed_ForgettingRate_HighBeta",0.188176533407162,0.851531567680973,0.0271509300518064,"HighBeta","Location",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"110","loc_P8_closed_ForgettingRate_HighBeta",2.43986695026106,0.0184367436377674,0.332168575032296,"HighBeta","Location",1,0.412983057485991,1,0.997120948748304,0.981259413329768,1
"111","loc_O1_closed_ForgettingRate_HighBeta",0.650309432685013,0.518593012218686,0.093453300757607,"HighBeta","Location",1,0.852129896067287,1,0.997120948748304,0.997120948748304,1
"112","loc_O2_closed_ForgettingRate_HighBeta",1.45279285181224,0.152787710738886,0.205229062980412,"HighBeta","Location",1,0.638011910675191,1,0.997120948748304,0.997120948748304,1
"113","voc_AF3_closed_ForgettingRate_UpperBeta",1.59865816390051,0.116459301535046,0.224838413290498,"UpperBeta","Vocabulary",1,0.621356503873898,1,0.997120948748304,0.997120948748304,1
"114","voc_AF4_closed_ForgettingRate_UpperBeta",1.58574714319593,0.119363458589083,0.223113322856592,"UpperBeta","Vocabulary",1,0.621356503873898,1,0.997120948748304,0.997120948748304,1
"115","voc_F3_closed_ForgettingRate_UpperBeta",1.23372056854572,0.22331405820733,0.175314333953201,"UpperBeta","Vocabulary",1,0.686271056103071,1,0.997120948748304,0.997120948748304,1
"116","voc_F4_closed_ForgettingRate_UpperBeta",1.7781124958423,0.0817200470124207,0.248591811070738,"UpperBeta","Vocabulary",1,0.590493242928459,1,0.997120948748304,0.997120948748304,1
"117","voc_FC5_closed_ForgettingRate_UpperBeta",0.318765507443926,0.751287332136823,0.0459612158332588,"UpperBeta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"118","voc_FC6_closed_ForgettingRate_UpperBeta",1.07990603813979,0.285580477833711,0.154011326256346,"UpperBeta","Vocabulary",1,0.75239412752085,1,0.997120948748304,0.997120948748304,1
"119","voc_F7_closed_ForgettingRate_UpperBeta",1.17748098527721,0.244809055986028,0.167552127818898,"UpperBeta","Vocabulary",1,0.709476138854087,1,0.997120948748304,0.997120948748304,1
